row_number,raw_ej,tagged_ej
9BTGO0345-0000060,신년,신년/NNG
9BTGO0345-0000070,기분을,기분/NNG + 을/JKO
9BTGO0345-0000080,돋우는,돋우/VV + 는/ETM
9BTGO0345-0000090,것은,것/NNB + 은/JX
9BTGO0345-0000100,아무래도,아무래도/MAG
9BTGO0345-0000110,캘린더가,캘린더/NNG + 가/JKS
9BTGO0345-0000120,제일일,제/XPN + 일/NR + 이/VCP + ㄹ/ETM
9BTGO0345-0000130,것,것/NNB
9BTGO0345-0000140,같다.,같/VA + 다/EF + ./SF
9BTGO0345-0000150,누렇게,누렇/VA + 게/EC
9BTGO0345-0000160,퇴색한,퇴색/NNG + 하/XSV + ㄴ/ETM
9BTGO0345-0000170,묵은,묵/VV + 은/ETM
9BTGO0345-0000180,달력장을,달력장/NNG + 을/JKO
9BTGO0345-0000190,떼어내고,떼/VV + 러/EC + 내/VX + 고/EC
9BTGO0345-0000200,그,그/MM
9BTGO0345-0000210,위에,위/NNG + 에/JKB
9BTGO0345-0000220,잉크,잉크/NNG
9BTGO0345-0000230,냄새가,냄새/NNG + 가/JKS
9BTGO0345-0000240,아직,아직/MAG
9BTGO0345-0000250,향기로운,향기/NNG + 롭/XSA + ㄴ/ETM
9BTGO0345-0000260,새,새/MM
9BTGO0345-0000270,캘린더를,캘린더/NNG + 를/JKO
9BTGO0345-0000280,걸어두는,걸/VV + 어/EC + 두/VX + 는/ETM
9BTGO0345-0000290,맛은,맛/NNG + 은/JX
9BTGO0345-0000300,망년회,망년회/NNG
9BTGO0345-0000310,못지않게,못지않/VA + 게/EC
9BTGO0345-0000320,개운한,개운/XR + 하/XSA + ㄴ/ETM
9BTGO0345-0000330,데가,데/NNB + 가/JKS
9BTGO0345-0000340,있다.,있/VV + 다/EF + ./SF
9BTGO0345-0000350,생활이,생활/NNG + 이/JKS
9BTGO0345-0000360,새롭고,새롭/VA + 고/EC
9BTGO0345-0000370,마음이,마음/NNG + 이/JKS
9BTGO0345-0000380,시원해지는,시원/XR + 하/XSA + 아/EC + 지/VX + 는/ETM
9BTGO0345-0000390,느낌이다.,느낌/NNG + 이/VCP + 다/EF + ./SF
9BTGO0345-0000400,캘린더라는,캘린더/NNG + 이/VCP + 라는/ETM
9BTGO0345-0000410,것이,것/NNB + 이/JKS
9BTGO0345-0000420,없었던들,없/VA + 었/EP + 던들/EC
9BTGO0345-0000430,인간은,인간/NNG + 은/JX
9BTGO0345-0000440,세월의,세월/NNG + 의/JKG
9BTGO0345-0000450,변화를,변화/NNG + 를/JKO
9BTGO0345-0000460,감각할,감각/NNG + 하/XSV + ㄹ/ETM
9BTGO0345-0000470,수,수/NNB
9BTGO0345-0000480,없었을,없/VA + 었/EP + 을/ETM
9BTGO0345-0000490,뻔했다.,뻔/NNB + 하/XSA + 았/EP + 다/EF + ./SF
9BTGO0345-0000500,선물에도,선물/NNG + 에/JKB + 도/JX
9BTGO0345-0000510,여러,여러/MM
9BTGO0345-0000520,가지가,가지/NNB + 가/JKS
9BTGO0345-0000530,있지만,있/VV + 지만/EC
9BTGO0345-0000540,받고,받/VV + 고/EC
9BTGO0345-0000550,부담을,부담/NNG + 을/JKO
9BTGO0345-0000560,느끼지,느끼/VV + 지/EC
9BTGO0345-0000570,않고,않/VX + 고/EC
9BTGO0345-0000580,마음이,마음/NNG + 이/JKS
9BTGO0345-0000590,한결,한결/MAG
9BTGO0345-0000600,즐거운,즐겁/VA + ㄴ/ETM
9BTGO0345-0000610,것은,것/NNB + 은/JX
9BTGO0345-0000620,역시,역시/MAG
9BTGO0345-0000630,캘린더이다.,캘린더/NNG + 이/VCP + 다/EF + ./SF
9BTGO0345-0000640,캘린더,캘린더/NNG
9BTGO0345-0000650,선사받고,선사/NNG + 받/VV + 고/EC
9BTGO0345-0000660,수회죄收賄罪로,수회죄/NNG + 收賄罪/SH + 로/JKB
9BTGO0345-0000670,걸려들었다는,걸려들/VV + 었/EP + 다는/ETM
9BTGO0345-0000680,사람은,사람/NNG + 은/JX
9BTGO0345-0000690,아직,아직/MAG
9BTGO0345-0000700,없으니,없/VA + 으니/EC
